X,Y,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,TOTPOP,NH_WHITE,NH_BLACK,NH_AMIN,NH_ASIAN,NH_NHPI,NH_OTHER,NH_2MORE,HISP,H_WHITE,H_BLACK,H_AMIN,H_ASIAN,N_NHPI,H_OTHER,H_2MORE,VAP,HVAP,WVAP,BVAP,AMINVAP,ASIANVAP,NHPIVAP,OTHERVAP,2MOREVAP,TOTVOT00,PRES00D,PRES00R,PRES00G,PRES00OTH,TOTVOT04,PRES04D,PRES04R,PRES04OTH,TOTVOT08,PRES08D,PRES08R,PRES08OTH,TOTVOT12,PRES12D,PRES12R,PRES12OTH,TOTVOT16,PRES16D,PRES16R,PRES16OTH,CD
-92.9990010405311,42.0358010107192,19,127,19127,Marshall,Marshall County,1482770678,1803086,+42.0416910,-092.9814523,40648,31807,629,104,526,39,33,493,7017,4264,50,82,10,11,2263,337,30344,3762,25417,421,67,406,26,20,225,17624,8322,8785,340,177,19164,9443,9557,164,18657,10023,8278,356,19064,10257,8472,335,17980,7652,9146,1182,1
-92.0669659987178,42.0802989929437,19,011,19011,Benton,Benton County,1855117342,5760770,+42.0925474,-092.0576300,26076,25387,93,41,66,2,5,207,275,182,9,4,0,0,48,32,19430,155,19068,49,34,46,2,4,72,11766,5915,5468,231,152,13501,6747,6658,96,13712,7058,6447,207,14023,6862,6940,221,13844,4678,8232,934,1
-95.150845893062,43.0825204870713,19,041,19041,Clay,Clay County,1469139214,13866941,+43.0798220,-095.1497261,16667,15843,68,36,98,0,1,144,477,234,1,2,1,1,195,43,12837,265,12386,39,25,67,0,0,55,7578,3294,3992,166,126,8588,3547,4898,143,8398,3925,4355,118,8502,3385,4951,166,8617,2249,5877,491,4
-95.3254641251174,41.6846355288617,19,165,19165,Shelby,Shelby County,1530110414,1486135,+41.6790143,-095.3089173,12167,11763,31,24,46,0,7,77,219,146,1,4,0,2,61,5,9301,133,9056,19,16,26,0,5,46,6009,2179,3655,113,62,6670,2355,4256,59,6453,2863,3488,102,6483,2469,3911,103,6370,1662,4362,346,4
-91.3525855272322,42.8621462410019,19,043,19043,Clayton,Clayton County,2016405612,36586071,+42.8409979,-091.3235108,18129,17563,60,13,42,17,2,126,306,168,1,7,0,0,108,22,13925,163,13610,28,12,27,15,0,70,8571,4238,4034,206,93,9168,4736,4312,120,8989,5195,3651,143,9138,4806,4164,168,9129,3237,5317,575,1
-90.6289105381788,42.2070069287014,19,097,19097,Jackson,Jackson County,1647332960,35141529,+42.1642812,-090.5745965,19848,19223,58,37,47,88,2,173,220,116,3,3,0,1,65,32,15243,113,14915,29,23,32,52,2,77,9032,4945,3769,227,91,10011,5656,4242,113,9955,6102,3673,180,10242,5907,4177,158,10310,3837,5824,649,1
-93.6974016644622,42.3833870046826,19,079,19079,Hamilton,Hamilton County,1493777716,1965344,+42.3907681,-093.7091980,15673,14344,40,26,311,0,8,162,782,359,10,7,0,0,354,52,11904,447,11140,29,16,211,0,5,56,7574,3407,3968,141,58,8335,3895,4367,73,8078,4018,3913,147,7927,3782,3991,154,7694,2726,4463,505,4
-94.6999308222426,40.7356715100877,19,173,19173,Taylor,Taylor County,1377618597,7133648,+40.7379489,-094.6971082,6317,5872,12,9,17,0,0,43,364,196,2,0,0,3,147,16,4841,214,4575,7,6,12,0,0,27,3096,1247,1770,46,33,3190,1252,1908,30,3026,1347,1607,72,2995,1262,1683,50,3029,758,2111,160,3
-91.0770238014239,41.465325989337,19,139,19139,Muscatine,Muscatine County,1133040484,30198875,+41.4837760,-091.1186992,42745,34518,545,76,334,13,41,415,6803,3543,61,57,16,0,2728,398,31581,3965,26778,320,57,243,9,18,191,16076,8058,7483,371,164,18717,9542,9020,155,19119,10920,7929,270,19865,11323,8168,374,19434,8368,9584,1482,2
-93.7351101257328,42.7325860079867,19,197,19197,Wright,Wright County,1503286817,4703964,+42.7330073,-093.7347352,13229,11738,40,20,33,3,5,116,1274,807,17,0,0,3,354,93,10143,748,9294,15,12,23,3,4,44,6336,2796,3384,107,49,6603,2930,3631,42,6395,3102,3198,95,6278,2836,3349,93,6026,1896,3800,330,4
-90.5328132415687,41.8802892281356,19,045,19045,Clinton,Clinton County,1799821282,39523759,+41.8980732,-090.5342431,49116,45454,1258,101,277,9,23,751,1243,698,33,20,3,3,338,148,37526,695,35416,848,83,185,6,10,283,22180,12276,9229,471,204,24684,13813,10666,205,24719,15018,9324,377,25000,15141,9432,427,23067,10095,11276,1696,2
-92.0670902439362,41.6864815121649,19,095,19095,Iowa,Iowa County,1518916014,2686847,+41.6839184,-092.0591226,16355,15818,53,14,54,2,9,98,307,184,4,13,2,0,79,25,12338,167,12037,35,9,41,2,5,42,7413,3230,3894,188,101,8454,3841,4544,69,8546,4202,4188,156,8866,4144,4569,153,8904,3084,5205,615,1
-95.1507083799005,42.7354015010021,19,021,19021,Buena Vista,Buena Vista County,1489022575,13758158,+42.7415220,-095.1414325,20260,13756,497,18,1119,95,10,157,4608,2585,43,33,22,5,1718,202,15204,2743,11174,306,13,812,64,8,84,7977,3297,4354,227,99,8490,3520,4887,83,8418,4075,4223,120,8383,3700,4554,129,8278,2856,4903,519,4
-96.040769676689,42.3866859715021,19,193,19193,Woodbury,Woodbury County,2147483647,12793293,+42.3932198,-096.0532956,102172,79282,2384,1789,2395,102,60,2167,13993,6105,72,465,28,4,6180,1139,74958,7836,61664,1605,1167,1705,55,30,896,37896,17691,18864,804,537,44195,21455,22451,289,44801,21983,22219,599,45019,22302,21841,876,43718,16210,24727,2781,4
-94.2064485253147,43.2034744933747,19,109,19109,Kossuth,Kossuth County,2147483647,4154729,+43.2124777,-094.2139830,15543,15121,43,8,59,0,6,91,215,102,1,12,0,4,67,29,11988,115,11777,23,5,37,0,4,27,8878,3960,4612,206,100,9258,4132,5042,84,9097,4625,4329,143,8923,3850,4937,136,8607,2543,5653,411,4
-93.2607556473418,43.3774229990231,19,195,19195,Worth,Worth County,1036314948,4709127,+43.3734910,-093.2485332,7598,7335,21,10,24,0,2,59,147,100,6,4,0,0,29,8,5841,88,5688,6,8,19,0,1,31,4004,2208,1659,91,46,4123,2286,1795,42,4257,2567,1612,78,4172,2350,1744,78,4257,1530,2453,274,1
-91.7157987942709,41.3365834819537,19,183,19183,Washington,Washington County,1473276393,5399692,+41.3294011,-091.7250523,21704,20114,140,40,72,13,2,185,1138,682,6,16,0,0,301,133,16245,637,15350,88,32,54,8,1,75,9094,3932,4827,245,90,10688,4595,5977,116,10626,5170,5247,209,11004,5115,5562,327,10929,3943,6173,813,2
-95.0899246430858,42.3853665016392,19,161,19161,Sac,Sac County,1489272900,8596902,+42.3875259,-095.1052244,10350,10031,31,6,15,3,1,68,195,94,0,1,1,2,78,19,8025,105,7853,14,6,12,3,1,31,5033,2099,2776,97,61,5374,2215,3128,31,5053,2256,2705,92,5291,2122,3094,75,5212,1270,3703,239,4
-94.2072878925935,42.7791395025875,19,091,19091,Humboldt,Humboldt County,1124967281,3406139,+42.7822212,-094.2027754,9815,9288,39,14,31,0,4,82,357,130,5,1,1,1,199,20,7557,202,7275,22,9,18,0,0,31,4940,1949,2846,100,45,5350,2146,3162,42,5122,2160,2895,67,5158,1972,3099,87,5087,1252,3568,267,4
